time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-06 00:00:00+00:00,65,31,25,14
2024-06-07 00:00:00+00:00,72,30,33,16
2024-06-08 00:00:00+00:00,67,27,40,14
2024-06-09 00:00:00+00:00,47,20,23,11
2024-06-10 00:00:00+00:00,73,32,60,11
2024-06-11 00:00:00+00:00,72,32,44,21
2024-06-12 00:00:00+00:00,46,22,35,20
2024-06-13 00:00:00+00:00,65,26,26,15
2024-06-14 00:00:00+00:00,99,45,36,21
2024-06-15 00:00:00+00:00,27,15,43,16
2024-06-16 00:00:00+00:00,29,15,22,12
2024-06-17 00:00:00+00:00,66,36,75,12
2024-06-18 00:00:00+00:00,80,45,104,18
2024-06-19 00:00:00+00:00,82,38,41,15
2024-06-20 00:00:00+00:00,83,43,74,19
2024-06-21 00:00:00+00:00,67,31,14,12
2024-06-22 00:00:00+00:00,46,21,9,6
2024-06-23 00:00:00+00:00,41,19,13,7
2024-06-24 00:00:00+00:00,41,22,73,22
2024-06-25 00:00:00+00:00,29,15,53,13
2024-06-26 00:00:00+00:00,28,15,80,19
2024-06-27 00:00:00+00:00,20,8,23,14
2024-06-28 00:00:00+00:00,22,10,57,19
2024-06-29 00:00:00+00:00,25,10,23,10
2024-06-30 00:00:00+00:00,22,4,39,14
2024-07-01 00:00:00+00:00,24,13,26,18
2024-07-02 00:00:00+00:00,30,14,30,19
2024-07-03 00:00:00+00:00,33,11,14,11
2024-07-04 00:00:00+00:00,22,7,35,19
2024-07-05 00:00:00+00:00,64,18,42,16
2024-07-06 00:00:00+00:00,66,15,64,19
2024-07-07 00:00:00+00:00,51,15,49,15
2024-07-08 00:00:00+00:00,42,21,46,21
2024-07-09 00:00:00+00:00,37,16,65,26
2024-07-10 00:00:00+00:00,65,21,44,17
2024-07-11 00:00:00+00:00,30,13,39,14
2024-07-12 00:00:00+00:00,26,13,19,13
2024-07-13 00:00:00+00:00,34,12,23,13
2024-07-14 00:00:00+00:00,29,14,17,9
2024-07-15 00:00:00+00:00,31,16,12,10
2024-07-16 00:00:00+00:00,36,17,41,15
2024-07-17 00:00:00+00:00,23,11,28,11
2024-07-18 00:00:00+00:00,23,9,26,11
2024-07-19 00:00:00+00:00,25,11,12,9
2024-07-20 00:00:00+00:00,21,7,29,12
2024-07-21 00:00:00+00:00,37,10,14,10
2024-07-22 00:00:00+00:00,27,11,39,14
2024-07-23 00:00:00+00:00,31,13,40,13
2024-07-24 00:00:00+00:00,21,7,14,6
2024-07-25 00:00:00+00:00,24,12,36,11
2024-07-26 00:00:00+00:00,28,9,16,10
2024-07-27 00:00:00+00:00,20,6,15,13
2024-07-28 00:00:00+00:00,30,6,18,13
2024-07-29 00:00:00+00:00,34,14,20,14
2024-07-30 00:00:00+00:00,24,10,49,26
2024-07-31 00:00:00+00:00,28,14,53,16
2024-08-01 00:00:00+00:00,23,8,33,19
2024-08-02 00:00:00+00:00,18,7,16,8
2024-08-03 00:00:00+00:00,23,8,9,7
2024-08-04 00:00:00+00:00,20,7,36,18
2024-08-05 00:00:00+00:00,30,16,25,9
2024-08-06 00:00:00+00:00,18,6,19,17
2024-08-07 00:00:00+00:00,26,11,49,11
2024-08-08 00:00:00+00:00,21,8,28,15
2024-08-09 00:00:00+00:00,22,8,31,19
2024-08-10 00:00:00+00:00,24,10,19,12
2024-08-11 00:00:00+00:00,23,10,25,12
2024-08-12 00:00:00+00:00,21,9,29,14
2024-08-13 00:00:00+00:00,30,14,44,19
2024-08-14 00:00:00+00:00,16,4,50,13
2024-08-15 00:00:00+00:00,19,6,22,14
2024-08-16 00:00:00+00:00,29,14,51,18
2024-08-17 00:00:00+00:00,20,7,22,13
2024-08-18 00:00:00+00:00,26,9,11,10
2024-08-19 00:00:00+00:00,31,15,38,17
2024-08-20 00:00:00+00:00,22,6,44,21
2024-08-21 00:00:00+00:00,20,9,19,12
2024-08-22 00:00:00+00:00,21,7,45,15
2024-08-23 00:00:00+00:00,21,7,15,12
2024-08-24 00:00:00+00:00,24,9,17,11
2024-08-25 00:00:00+00:00,23,9,7,6
2024-08-26 00:00:00+00:00,27,12,22,14
2024-08-27 00:00:00+00:00,21,8,23,15
2024-08-28 00:00:00+00:00,22,9,22,12
2024-08-29 00:00:00+00:00,20,7,22,16
2024-08-30 00:00:00+00:00,25,9,42,19
2024-08-31 00:00:00+00:00,23,9,26,14
2024-09-01 00:00:00+00:00,24,11,18,15
2024-09-02 00:00:00+00:00,27,12,23,12
2024-09-03 00:00:00+00:00,27,13,37,27
2024-09-04 00:00:00+00:00,24,8,35,16
2024-09-05 00:00:00+00:00,26,10,34,18
2024-09-06 00:00:00+00:00,22,8,39,14
2024-09-07 00:00:00+00:00,18,6,8,7
2024-09-08 00:00:00+00:00,24,9,16,11
2024-09-09 00:00:00+00:00,23,8,25,19
2024-09-10 00:00:00+00:00,23,11,45,15
2024-09-11 00:00:00+00:00,19,5,35,13
2024-09-12 00:00:00+00:00,21,8,25,20
2024-09-13 00:00:00+00:00,29,11,14,8
2024-09-14 00:00:00+00:00,23,9,32,16
2024-09-15 00:00:00+00:00,21,10,11,9
2024-09-16 00:00:00+00:00,33,13,48,12
2024-09-17 00:00:00+00:00,21,7,24,11
2024-09-18 00:00:00+00:00,21,7,17,14
2024-09-19 00:00:00+00:00,19,8,23,11
2024-09-20 00:00:00+00:00,20,9,77,12
2024-09-21 00:00:00+00:00,20,6,40,10
2024-09-22 00:00:00+00:00,16,5,9,5
2024-09-23 00:00:00+00:00,24,11,15,12
2024-09-24 00:00:00+00:00,28,15,38,15
2024-09-25 00:00:00+00:00,44,9,45,10
2024-09-26 00:00:00+00:00,24,9,17,11
2024-09-27 00:00:00+00:00,21,8,37,14
2024-09-28 00:00:00+00:00,15,4,16,9
2024-09-29 00:00:00+00:00,24,7,13,9
2024-09-30 00:00:00+00:00,22,8,19,12
2024-10-01 00:00:00+00:00,29,11,24,11
2024-10-02 00:00:00+00:00,65,26,34,24
2024-10-03 00:00:00+00:00,32,19,56,22
2024-10-04 00:00:00+00:00,43,25,27,19
2024-10-05 00:00:00+00:00,23,11,9,8
2024-10-06 00:00:00+00:00,29,14,31,14
2024-10-07 00:00:00+00:00,25,12,30,20
2024-10-08 00:00:00+00:00,27,14,21,13
2024-10-09 00:00:00+00:00,32,15,39,19
2024-10-10 00:00:00+00:00,19,8,23,11
2024-10-11 00:00:00+00:00,23,10,28,12
2024-10-12 00:00:00+00:00,19,8,25,6
2024-10-13 00:00:00+00:00,19,5,4,4
2024-10-14 00:00:00+00:00,20,9,9,7
2024-10-15 00:00:00+00:00,26,13,18,10
2024-10-16 00:00:00+00:00,23,10,29,12
2024-10-17 00:00:00+00:00,17,5,10,9
2024-10-18 00:00:00+00:00,21,10,16,14
2024-10-19 00:00:00+00:00,18,7,12,9
2024-10-20 00:00:00+00:00,17,6,6,5
2024-10-21 00:00:00+00:00,22,9,19,12
2024-10-22 00:00:00+00:00,19,8,33,11
2024-10-23 00:00:00+00:00,21,10,19,10
2024-10-24 00:00:00+00:00,40,15,23,15
2024-10-25 00:00:00+00:00,15,4,14,13
2024-10-26 00:00:00+00:00,24,11,24,9
2024-10-27 00:00:00+00:00,19,7,26,14
2024-10-28 00:00:00+00:00,26,15,45,24
2024-10-29 00:00:00+00:00,20,9,17,13
